,SNR,Signal,Noise
Spettro_1,7.121,0.169,0.024
Spettro_2,14.692,0.442,0.030
Spettro_3,18.813,0.554,0.029
Spettro_4,27.648,0.682,0.025
Spettro_5,26.768,0.951,0.036
Spettro_6,35.517,1.363,0.038
Spettro_7,86.667,3.034,0.035
Spettro_8,117.174,5.129,0.044
Spettro_9,46.871,6.668,0.142
Spettro_10,99.228,13.119,0.132
Spettro_11,169.648,16.236,0.096
Spettro_12,82.072,12.386,0.151
Spettro_13,279.196,23.010,0.082
Spettro_14,343.269,10.129,0.030
Spettro_15,87.261,2.798,0.032
Spettro_16,51.140,1.158,0.023
Spettro_17,16.463,0.413,0.025
Spettro_18,4.555,0.143,0.032
Spettro_19,3.437,0.101,0.030
Spettro_20,4.078,0.125,0.031
