,SNR,Signal,Noise
Spettro_1,94.426,3.187,0.034
Spettro_2,252.652,6.592,0.026
Spettro_3,259.745,12.682,0.049
Spettro_4,713.544,31.523,0.044
Spettro_5,684.737,25.678,0.038
Spettro_6,259.732,6.690,0.026
Spettro_7,161.554,8.491,0.053
Spettro_8,60.158,3.539,0.059
Spettro_9,84.087,4.520,0.054
Spettro_10,228.229,12.368,0.054
Spettro_11,121.407,5.308,0.044
Spettro_12,114.998,5.762,0.050
Spettro_13,792.695,25.994,0.033
Spettro_14,1921.780,123.584,0.064
Spettro_15,654.123,35.868,0.055
Spettro_16,261.580,11.982,0.046
Spettro_17,141.576,7.212,0.051
Spettro_18,166.024,7.262,0.044
Spettro_19,143.602,4.244,0.030
Spettro_20,65.203,1.402,0.022
