,SNR,Signal,Noise
Spettro_1,20.888,0.980,0.047
Spettro_2,42.247,1.937,0.046
Spettro_3,57.970,3.488,0.060
Spettro_4,166.913,9.500,0.057
Spettro_5,115.826,7.770,0.067
Spettro_6,53.716,2.314,0.043
Spettro_7,37.630,2.905,0.077
Spettro_8,19.388,1.512,0.078
Spettro_9,24.684,1.924,0.078
Spettro_10,62.147,4.501,0.072
Spettro_11,33.735,2.100,0.062
Spettro_12,26.371,2.121,0.080
Spettro_13,151.495,9.179,0.061
Spettro_14,589.319,46.361,0.079
Spettro_15,185.877,12.817,0.069
Spettro_16,48.847,4.346,0.089
Spettro_17,42.978,2.671,0.062
Spettro_18,49.956,2.893,0.058
Spettro_19,40.680,1.713,0.042
Spettro_20,18.011,0.617,0.034
