,SNR,Signal,Noise
Spettro_1,3.837,0.283,0.074
Spettro_2,9.643,0.548,0.057
Spettro_3,14.066,1.012,0.072
Spettro_4,22.547,1.873,0.083
Spettro_5,16.709,1.513,0.091
Spettro_6,4.694,0.460,0.098
Spettro_7,7.425,0.558,0.075
Spettro_8,5.358,0.527,0.098
Spettro_9,4.828,0.517,0.107
Spettro_10,11.716,1.154,0.098
Spettro_11,4.994,0.561,0.112
Spettro_12,5.513,0.627,0.114
Spettro_13,38.023,2.220,0.058
Spettro_14,95.548,11.633,0.122
Spettro_15,42.306,2.917,0.069
Spettro_16,9.243,0.934,0.101
Spettro_17,4.833,0.731,0.151
Spettro_18,5.537,0.504,0.091
Spettro_19,5.698,0.332,0.058
Spettro_20,4.066,0.132,0.032
