,SNR,Signal,Noise
Spettro_1,26.058,0.848,0.033
Spettro_2,34.081,1.247,0.037
Spettro_3,62.212,2.242,0.036
Spettro_4,66.521,4.347,0.065
Spettro_5,68.955,3.887,0.056
Spettro_6,32.975,1.568,0.048
Spettro_7,43.178,2.202,0.051
Spettro_8,19.843,1.120,0.056
Spettro_9,15.274,1.220,0.080
Spettro_10,47.863,3.032,0.063
Spettro_11,23.642,1.372,0.058
Spettro_12,32.533,1.620,0.050
Spettro_13,98.611,5.206,0.053
Spettro_14,318.193,19.155,0.060
Spettro_15,130.249,7.165,0.055
Spettro_16,78.104,3.243,0.042
Spettro_17,30.583,1.857,0.061
Spettro_18,33.955,1.630,0.048
Spettro_19,29.695,1.076,0.036
Spettro_20,9.172,0.455,0.050
