,SNR,Signal,Noise
Spettro_1,68.675,2.557,0.037
Spettro_2,27.114,1.014,0.037
Spettro_3,81.807,3.447,0.042
Spettro_4,120.025,6.639,0.055
Spettro_5,301.063,16.620,0.055
Spettro_6,561.030,28.336,0.051
Spettro_7,1018.646,101.692,0.100
Spettro_8,1943.141,325.047,0.167
Spettro_9,1490.849,105.388,0.071
Spettro_10,896.561,54.189,0.060
Spettro_11,275.353,22.830,0.083
Spettro_12,163.020,12.319,0.076
Spettro_13,324.922,13.499,0.042
Spettro_14,319.548,14.687,0.046
Spettro_15,410.223,16.583,0.040
Spettro_16,1617.727,40.007,0.025
Spettro_17,600.105,40.918,0.068
Spettro_18,346.599,15.099,0.044
Spettro_19,112.085,4.751,0.042
Spettro_20,28.639,1.427,0.050
