,SNR,Signal,Noise
Spettro_1,6.524,0.573,0.088
Spettro_2,3.612,0.257,0.071
Spettro_3,10.967,0.835,0.076
Spettro_4,18.098,1.682,0.093
Spettro_5,75.199,4.905,0.065
Spettro_6,82.679,8.736,0.106
Spettro_7,288.852,34.849,0.121
Spettro_8,371.705,161.953,0.436
Spettro_9,341.972,29.423,0.086
Spettro_10,34.531,11.217,0.325
Spettro_11,36.315,5.547,0.153
Spettro_12,44.148,2.857,0.065
Spettro_13,44.710,3.238,0.072
Spettro_14,42.765,3.381,0.079
Spettro_15,59.502,4.408,0.074
Spettro_16,121.606,9.138,0.075
Spettro_17,119.141,10.295,0.086
Spettro_18,48.998,3.218,0.066
Spettro_19,15.762,1.066,0.068
Spettro_20,1.372,0.112,0.082
