,SNR,Signal,Noise
Spettro_1,11.090,0.413,0.037
Spettro_2,4.541,0.170,0.037
Spettro_3,10.720,0.452,0.042
Spettro_4,13.485,0.746,0.055
Spettro_5,34.075,1.881,0.055
Spettro_6,60.214,3.041,0.051
Spettro_7,117.172,11.697,0.100
Spettro_8,258.837,43.298,0.167
Spettro_9,183.821,12.994,0.071
Spettro_10,109.876,6.641,0.060
Spettro_11,34.282,2.842,0.083
Spettro_12,19.493,1.473,0.076
Spettro_13,39.509,1.641,0.042
Spettro_14,35.533,1.633,0.046
Spettro_15,40.211,1.625,0.040
Spettro_16,150.945,3.733,0.025
Spettro_17,67.657,4.613,0.068
Spettro_18,34.646,1.509,0.044
Spettro_19,12.429,0.527,0.042
Spettro_20,4.173,0.208,0.050
