,SNR,Signal,Noise
Spettro_1,34.588,0.769,0.022
Spettro_2,5.111,0.232,0.045
Spettro_3,19.268,0.804,0.042
Spettro_4,28.645,1.698,0.059
Spettro_5,49.652,3.148,0.063
Spettro_6,87.603,5.146,0.059
Spettro_7,155.282,12.979,0.084
Spettro_8,64.875,29.985,0.462
Spettro_9,124.618,13.164,0.106
Spettro_10,103.531,9.709,0.094
Spettro_11,75.915,4.336,0.057
Spettro_12,47.621,2.897,0.061
Spettro_13,47.741,2.760,0.058
Spettro_14,41.839,2.964,0.071
Spettro_15,57.841,2.612,0.045
Spettro_16,118.981,5.034,0.042
Spettro_17,89.803,4.410,0.049
Spettro_18,42.041,2.181,0.052
Spettro_19,17.317,0.941,0.054
Spettro_20,6.775,0.226,0.033
