,SNR,Signal,Noise
Spettro_1,20.062,1.094,0.055
Spettro_2,23.356,1.088,0.047
Spettro_3,26.873,1.598,0.059
Spettro_4,49.115,2.407,0.049
Spettro_5,53.337,3.814,0.072
Spettro_6,49.477,3.746,0.076
Spettro_7,46.826,2.530,0.054
Spettro_8,25.477,1.769,0.069
Spettro_9,12.957,1.239,0.096
Spettro_10,16.276,1.879,0.115
Spettro_11,22.897,2.541,0.111
Spettro_12,123.135,15.452,0.125
Spettro_13,63.237,4.375,0.069
Spettro_14,3.366,0.283,0.084
Spettro_15,2.102,0.114,0.054
Spettro_16,-1.306,-0.057,0.044
Spettro_17,1.035,0.049,0.048
Spettro_18,0.915,0.043,0.047
Spettro_19,2.109,0.092,0.044
Spettro_20,11.520,0.464,0.040
