,SNR,Signal,Noise
Spettro_1,21.826,1.330,0.061
Spettro_2,0.966,0.055,0.056
Spettro_3,-3.024,-0.215,0.071
Spettro_4,-3.936,-0.300,0.076
Spettro_5,-7.680,-0.905,0.118
Spettro_6,-2.764,-0.440,0.159
Spettro_7,-3.161,-0.339,0.107
Spettro_8,-2.178,-0.129,0.059
Spettro_9,1.160,0.074,0.064
Spettro_10,51.629,3.141,0.061
Spettro_11,15.878,1.069,0.067
Spettro_12,2.981,0.222,0.074
Spettro_13,0.795,0.053,0.067
Spettro_14,0.855,0.051,0.060
Spettro_15,5.813,0.368,0.063
Spettro_16,6.406,0.383,0.060
Spettro_17,28.055,1.615,0.058
Spettro_18,43.995,4.142,0.094
Spettro_19,89.593,11.039,0.123
Spettro_20,30.201,2.087,0.069
Spettro_21,39.595,1.782,0.045
Spettro_22,30.132,1.677,0.056
Spettro_23,2.458,0.175,0.071
Spettro_24,1.774,0.106,0.060
