,SNR,Signal,Noise
Spettro_1,1.228,0.142,0.116
Spettro_2,-1.605,-0.190,0.118
Spettro_3,-1.739,-0.142,0.082
Spettro_4,-1.489,-0.238,0.160
Spettro_5,-5.134,-1.117,0.218
Spettro_6,-5.752,-1.284,0.223
Spettro_7,-2.707,-0.509,0.188
Spettro_8,-3.756,-0.429,0.114
Spettro_9,-0.676,-0.086,0.127
Spettro_10,4.189,0.705,0.168
Spettro_11,3.272,0.397,0.121
Spettro_12,1.129,0.124,0.110
Spettro_13,-1.366,-0.153,0.112
Spettro_14,-0.576,-0.066,0.115
Spettro_15,1.109,0.127,0.115
Spettro_16,-0.084,-0.012,0.146
Spettro_17,1.464,0.194,0.133
Spettro_18,1.089,0.172,0.158
Spettro_19,2.831,0.483,0.171
Spettro_20,0.251,0.035,0.139
Spettro_21,3.448,0.465,0.135
Spettro_22,2.534,0.330,0.130
Spettro_23,-1.795,-0.187,0.104
Spettro_24,-2.142,-0.246,0.115
