,SNR,Signal,Noise
Spettro_1,7.049,0.429,0.061
Spettro_2,2.116,0.119,0.056
Spettro_3,-0.407,-0.029,0.071
Spettro_4,2.796,0.213,0.076
Spettro_5,13.277,1.564,0.118
Spettro_6,9.337,1.488,0.159
Spettro_7,1.750,0.187,0.107
Spettro_8,1.728,0.102,0.059
Spettro_9,3.035,0.193,0.064
Spettro_10,12.721,0.774,0.061
Spettro_11,4.769,0.321,0.067
Spettro_12,-0.048,-0.004,0.074
Spettro_13,0.015,0.001,0.067
Spettro_14,0.522,0.031,0.060
Spettro_15,3.517,0.222,0.063
Spettro_16,1.293,0.077,0.060
Spettro_17,14.288,0.822,0.058
Spettro_18,25.055,2.359,0.094
Spettro_19,67.689,8.340,0.123
Spettro_20,18.376,1.270,0.069
Spettro_21,15.227,0.685,0.045
Spettro_22,13.482,0.750,0.056
Spettro_23,1.708,0.121,0.071
Spettro_24,1.004,0.060,0.060
