,SNR,Signal,Noise
Spettro_1,-0.507,-0.052,0.102
Spettro_2,1.821,0.185,0.102
Spettro_3,2.382,0.251,0.105
Spettro_4,-3.106,-0.203,0.065
Spettro_5,0.142,0.040,0.282
Spettro_6,1.421,0.361,0.254
Spettro_7,0.274,0.038,0.140
Spettro_8,1.850,0.184,0.099
Spettro_9,0.435,0.057,0.131
Spettro_10,2.859,0.239,0.083
Spettro_11,-0.681,-0.051,0.076
Spettro_12,1.532,0.143,0.093
Spettro_13,-0.172,-0.015,0.089
Spettro_14,1.137,0.072,0.063
Spettro_15,1.068,0.094,0.088
Spettro_16,0.182,0.011,0.061
Spettro_17,2.520,0.207,0.082
Spettro_18,0.059,0.010,0.176
Spettro_19,1.695,0.447,0.264
Spettro_20,-1.365,-0.133,0.098
Spettro_21,0.445,0.044,0.100
Spettro_22,2.330,0.173,0.074
Spettro_23,0.133,0.011,0.083
Spettro_24,-0.864,-0.049,0.057
