,SNR,Signal,Noise
Spettro_1,2.328,0.045,0.019
Spettro_2,-0.811,-0.045,0.055
Spettro_3,0.751,0.033,0.044
Spettro_4,-0.252,-0.019,0.077
Spettro_5,2.612,0.213,0.082
Spettro_6,4.888,0.399,0.082
Spettro_7,-0.389,-0.016,0.040
Spettro_8,0.044,0.002,0.039
Spettro_9,1.808,0.102,0.056
Spettro_10,5.172,0.179,0.035
Spettro_11,1.516,0.060,0.040
Spettro_12,0.239,0.011,0.046
Spettro_13,2.856,0.062,0.022
Spettro_14,-0.923,-0.032,0.035
Spettro_15,2.135,0.066,0.031
Spettro_16,-1.255,-0.081,0.065
Spettro_17,8.231,0.248,0.030
Spettro_18,8.859,0.447,0.050
Spettro_19,16.772,1.388,0.083
Spettro_20,3.380,0.162,0.048
Spettro_21,8.679,0.240,0.028
Spettro_22,0.952,0.051,0.053
Spettro_23,1.097,0.064,0.058
Spettro_24,2.494,0.081,0.033
