Name,Flux,Error flux
Hgamma,0.7841174485679187,0.7196620075014418
Hbeta,1.1007760191130807,0.5364471116679689
Halpha,0.7574354228519647,0.26656684027784033
[SII]6716,0.23706162109258083,0.049823834756274575
[SII]6731,0.07287063193825061,0.05426883617900846
HeII4687,0.03889338800193373,0.04491440772352684
HeI5876,0.04044240265447925,0.03824173108331525
[OIII]5007_d,0.2455275888622348,0.0667266569131681
[OI]6300_d,0.10220726694748579,0.052953738277347055
[NII]6583_d,0.6169629680016061,0.13651045288930527
