Line,Flux,Error flux
Hgamma,0.08533804020656055,0.01494300283552003
Hbeta,0.1378859731061881,0.017602129587880933
Halpha,0.7335852044100446,0.012886603033554763
[SII]6716,0.23694524982941667,0.008497507105824876
[SII]6731,0.13639980749267744,0.008815276240916534
HeII4687,0.0,0.0068672578663486325
HeI5876,0.022969558108141438,0.005189768966356771
[OIII]5007_d,0.16012206826591818,0.010001538694080664
[OI]6300_d,0.05362559113178676,0.011305139733349385
[NII]6583_d,0.22711661647398546,0.00932734449985196
