Line,Flux,Error flux
Hgamma,0.5148480159693979,0.04431573226646154
Hbeta,1.0817897337343256,0.07910042949738533
Halpha,2.693332286577065,0.09700896774814353
[SII]6716,0.44239643294380093,0.042069583922287136
[SII]6731,0.34643288105560016,0.010238072884145837
HeII4687,0.025094984376150455,0.005842699236679944
HeI5876,0.16323064034595633,0.016108627518513323
[OIII]5007_d,1.4220695323862882,0.05917902843363306
[OI]6300_d,0.10960018425020557,0.006040494359189565
[NII]6583_d,0.6882874658861996,0.03384416621003474
