Line,Flux,Error flux
Hgamma,0.19828338256840145,0.016223912367368743
Hbeta,0.5461886124319427,0.031484502461932684
Halpha,2.2583299187600065,0.04436514971869497
[SII]6716,0.5911790183029857,0.025315969771492385
[SII]6731,0.42635106475158957,0.01399954251270382
HeII4687,0.0,0.010662276920621197
HeI5876,0.049419187745735386,0.008302968610789925
[OIII]5007_d,0.5135181514747434,0.03176917222561605
[OI]6300_d,0.06908954721268783,0.023710617074663456
[NII]6583_d,0.7419352441444699,0.01818629870574905
