,SNR,Signal,Noise
Spettro_1,,,
Spettro_2,,,
Spettro_3,,,
Spettro_4,1.528,0.016,0.011
Spettro_5,3.513,0.040,0.011
Spettro_6,8.335,0.156,0.019
Spettro_7,26.638,0.429,0.016
Spettro_8,13.762,0.182,0.013
Spettro_9,18.909,0.301,0.016
Spettro_10,21.706,0.500,0.023
Spettro_11,7.843,0.278,0.035
Spettro_12,18.343,0.338,0.018
Spettro_13,28.369,0.519,0.018
Spettro_14,15.196,0.314,0.021
Spettro_15,12.788,0.175,0.014
Spettro_16,7.982,0.123,0.015
Spettro_17,9.747,0.108,0.011
Spettro_18,1.321,0.025,0.019
Spettro_19,1.622,0.023,0.014
Spettro_20,6.517,0.054,0.008
Spettro_21,3.967,0.049,0.012
Spettro_22,0.389,0.006,0.015
Spettro_23,0.600,0.007,0.012
Spettro_24,3.906,0.042,0.011
