,SNR,Signal,Noise
Spettro_1,,,
Spettro_2,,,
Spettro_3,,,
Spettro_4,1.544,0.023,0.015
Spettro_5,6.954,0.100,0.014
Spettro_6,13.584,0.240,0.018
Spettro_7,27.691,0.650,0.023
Spettro_8,10.747,0.276,0.026
Spettro_9,21.294,0.500,0.023
Spettro_10,35.949,0.823,0.023
Spettro_11,20.280,0.458,0.023
Spettro_12,26.070,0.460,0.018
Spettro_13,41.358,0.941,0.023
Spettro_14,31.111,0.619,0.020
Spettro_15,15.161,0.337,0.022
Spettro_16,13.892,0.295,0.021
Spettro_17,15.826,0.245,0.015
Spettro_18,7.790,0.113,0.014
Spettro_19,5.911,0.098,0.016
Spettro_20,4.628,0.093,0.020
Spettro_21,4.831,0.059,0.012
Spettro_22,4.499,0.069,0.015
Spettro_23,2.597,0.032,0.012
Spettro_24,3.757,0.059,0.016
