,SNR,Signal,Noise
Spettro_1,1.583,0.026,0.016
Spettro_2,6.429,0.133,0.021
Spettro_3,52.411,0.968,0.018
Spettro_4,36.753,1.039,0.028
Spettro_5,15.628,0.348,0.022
Spettro_6,105.902,2.522,0.024
Spettro_7,65.055,1.628,0.025
Spettro_8,2.012,0.046,0.023
Spettro_9,0.902,0.016,0.018
Spettro_10,2.038,0.037,0.018
Spettro_11,10.326,0.289,0.028
Spettro_12,68.479,1.944,0.028
Spettro_13,17.282,0.440,0.025
Spettro_14,8.702,0.183,0.021
Spettro_15,25.902,0.635,0.025
Spettro_16,71.413,2.142,0.030
Spettro_17,115.806,3.172,0.027
Spettro_18,34.254,0.896,0.026
Spettro_19,10.508,0.183,0.017
Spettro_20,7.199,0.111,0.015
