,SNR,Signal,Noise
Spettro_1,0.414,0.009,0.021
Spettro_2,7.571,0.120,0.016
Spettro_3,-0.359,-0.007,0.021
Spettro_4,1.534,0.024,0.016
Spettro_5,-2.500,-0.039,0.016
Spettro_6,0.679,0.014,0.021
Spettro_7,-2.634,-0.050,0.019
Spettro_8,0.231,0.003,0.013
Spettro_9,-0.967,-0.028,0.028
Spettro_10,5.111,0.082,0.016
Spettro_11,33.394,0.561,0.017
Spettro_12,28.828,0.692,0.024
Spettro_13,18.018,0.277,0.015
Spettro_14,9.579,0.155,0.016
Spettro_15,13.689,0.088,0.006
Spettro_16,-1.128,-0.013,0.012
Spettro_17,-1.070,-0.017,0.016
Spettro_18,-1.113,-0.015,0.013
Spettro_19,-0.659,-0.013,0.020
Spettro_20,-0.478,-0.008,0.017
